Skin,TotalWeighting
Glove Case,0.012115384615384616
Danger Zone Case,0.012115384615384616
Operation Breakout Weapon Case,0.012115384615384616
Horizon Case,0.012115384615384616
Gamma 2 Case,0.012115384615384616
eSports 2013 Winter Case,0.009615384615384616
Chroma 2 Case,0.009615384615384616
Operation Wildfire Case,0.009615384615384616
Spectrum 2 Case,0.009615384615384616
Operation Phoenix Weapon Case,0.009615384615384616
Winter Offensive Weapon Case,0.009615384615384616
Gamma Case,0.009615384615384616
Chroma Case,0.009615384615384616
Falchion Case,0.009615384615384616
Clutch Case,0.009615384615384616
Revolver Case,0.009615384615384616
Shadow Case,0.009615384615384616
CS:GO Weapon Case 3,0.009615384615384616
Spectrum Case,0.009615384615384616
Operation Bravo Case,0.009615384615384616
eSports 2014 Summer Case,0.009615384615384616
CS:GO Weapon Case,0.009615384615384616
Operation Hydra Case,0.009615384615384616
Operation Vanguard Weapon Case,0.009615384615384616
CS:GO Weapon Case 2,0.009615384615384616
eSports 2013 Case,0.009615384615384616
StatTrak™ AWP | BOOM (Field-Tested),0.0025
Sticker | Fnatic | Cologne 2014,0.0025
SG 553 | Cyrex (Field-Tested),0.0025
Souvenir FAMAS | Styx (Field-Tested),0.0025
SSG 08 | Turbo Peek (Field-Tested),0.0025
P2000 | Corticera (Field-Tested),0.0025
USP-S | Kill Confirmed (Field-Tested),0.0025
★ Ursus Knife | Damascus Steel (Field-Tested),0.0025
★ M9 Bayonet | Slaughter (Field-Tested),0.0025
MP9 | Bulldozer (Field-Tested),0.0025
★ Huntsman Knife | Doppler (Factory New),0.0025
★ Nomad Knife | Slaughter (Field-Tested),0.0025
AWP | BOOM (Field-Tested),0.0025
Sticker | Tyloo | Boston 2018,0.0025
Sticker | Natus Vincere | Cologne 2014,0.0025
StatTrak™ P90 | Elite Build (Field-Tested),0.0025
Sticker | Virtus.Pro | Boston 2018,0.0025
SG 553 | Colony IV (Field-Tested),0.0025
★ Paracord Knife | Slaughter (Field-Tested),0.0025
