Skin,Weighting
★ Bayonet | Autotronic (Field-Tested),1
★ Bayonet | Damascus Steel (Field-Tested),1
★ Bayonet | Freehand (Field-Tested),1
★ Bayonet | Marble Fade (Factory New),1
★ Bowie Knife | Autotronic (Field-Tested),1
★ Bowie Knife | Black Laminate (Field-Tested),1
★ Bowie Knife | Lore (Field-Tested),1
★ Broken Fang Gloves | Needle Point (Field-Tested),1
★ Broken Fang Gloves | Yellow-banded (Field-Tested),1
★ Butterfly Knife | Autotronic (Field-Tested),1
★ Butterfly Knife | Bright Water (Field-Tested),1
★ Butterfly Knife | Freehand (Field-Tested),1
★ Classic Knife | Blue Steel (Field-Tested),1
★ Driver Gloves | Black Tie (Field-Tested),1
★ Driver Gloves | King Snake (Field-Tested),1
★ Driver Gloves | Racing Green (Field-Tested),1
★ Falchion Knife | Autotronic (Field-Tested),1
★ Falchion Knife | Damascus Steel (Field-Tested),1
★ Falchion Knife | Freehand (Field-Tested),1
★ Flip Knife | Black Laminate (Field-Tested),1
★ Flip Knife | Bright Water (Field-Tested),1
★ Flip Knife | Marble Fade (Minimal Wear),1
★ Gut Knife | Autotronic (Field-Tested),1
★ Gut Knife | Bright Water (Field-Tested),1
★ Gut Knife | Freehand (Field-Tested),1
★ Hand Wraps | Cobalt Skulls (Field-Tested),1
★ Hand Wraps | Overprint (Field-Tested),1
★ Huntsman Knife | Autotronic (Field-Tested),1
★ Huntsman Knife | Bright Water (Field-Tested),1
★ Huntsman Knife | Doppler (Factory New),1
★ Huntsman Knife | Forest DDPAT (Field-Tested),1
★ Hydra Gloves | Emerald (Field-Tested),1
★ Hydra Gloves | Mangrove (Field-Tested),1
★ Karambit | Black Laminate (Field-Tested),1
★ Karambit | Damascus Steel (Field-Tested),1
★ Karambit | Lore (Field-Tested),1
★ M9 Bayonet | Black Laminate (Field-Tested),1
★ M9 Bayonet | Lore (Field-Tested),1
★ M9 Bayonet | Slaughter (Field-Tested),1
★ Moto Gloves | Cool Mint (Field-Tested),1
★ Moto Gloves | Smoke Out (Field-Tested),1
★ Navaja Knife | Blue Steel (Field-Tested),1
★ Navaja Knife | Damascus Steel (Field-Tested),1
★ Navaja Knife | Tiger Tooth (Factory New),1
★ Nomad Knife | Blue Steel (Field-Tested),1
★ Nomad Knife | Night Stripe (Field-Tested),1
★ Nomad Knife | Slaughter (Field-Tested),1
★ Paracord Knife | Blue Steel (Field-Tested),1
★ Paracord Knife | Slaughter (Field-Tested),1
★ Shadow Daggers | Autotronic (Field-Tested),1
★ Shadow Daggers | Boreal Forest (Field-Tested),1
★ Shadow Daggers | Damascus Steel (Field-Tested),1
★ Shadow Daggers | Slaughter (Field-Tested),1
★ Skeleton Knife | Blue Steel (Field-Tested),1
★ Skeleton Knife | Scorched (Field-Tested),1
★ Specialist Gloves | Crimson Kimono (Field-Tested),1
★ Specialist Gloves | Fade (Field-Tested),1
★ Specialist Gloves | Field Agent (Field-Tested),1
★ Sport Gloves | Big Game (Field-Tested),1
★ Sport Gloves | Omega (Field-Tested),1
★ Sport Gloves | Scarlet Shamagh (Field-Tested),1
★ Stiletto Knife | Blue Steel (Field-Tested),1
★ Stiletto Knife | Doppler (Factory New),1
★ Stiletto Knife | Urban Masked (Field-Tested),1
★ Survival Knife | Blue Steel (Field-Tested),1
★ Survival Knife | Slaughter (Field-Tested),1
★ Talon Knife | Damascus Steel (Field-Tested),1
★ Talon Knife | Night Stripe (Field-Tested),1
★ Talon Knife | Tiger Tooth (Factory New),1
★ Ursus Knife | Blue Steel (Field-Tested),1
★ Ursus Knife | Damascus Steel (Field-Tested),1
★ Ursus Knife | Tiger Tooth (Factory New),1
AK-47 | Case Hardened (Field-Tested),1
AK-47 | Fire Serpent (Field-Tested),1
AK-47 | Fuel Injector (Field-Tested),1
AK-47 | Ice Coaled (Field-Tested),1
AK-47 | Redline (Field-Tested),1
AK-47 | Vulcan (Field-Tested),1
AWP | Asiimov (Battle-Scarred),1
AWP | BOOM (Field-Tested),1
AWP | Graphite (Factory New),1
AWP | Lightning Strike (Factory New),1
AWP | Redline (Field-Tested),1
AWP | Wildfire (Field-Tested),1
CS20 Case,1
Danger Zone Case,1
Desert Eagle | Blaze (Factory New),1
Desert Eagle | Conspiracy (Factory New),1
Desert Eagle | Crimson Web (Field-Tested),1
Desert Eagle | Kumicho Dragon (Field-Tested),1
Desert Eagle | Mecha Industries (Factory New),1
FAMAS | Commemoration (Field-Tested),1
FAMAS | Mecha Industries (Field-Tested),1
FAMAS | Survivor Z (Field-Tested),1
Five-SeveN | Case Hardened (Field-Tested),1
Five-SeveN | Copper Galaxy (Field-Tested),1
Galil AR | Cerberus (Field-Tested),1
Galil AR | Rocket Pop (Field-Tested),1
Gamma 2 Case,1
Glock-18 | Candy Apple (Factory New),1
Glock-18 | Twilight Galaxy (Field-Tested),1
Glock-18 | Water Elemental (Field-Tested),1
Glove Case,1
Horizon Case,1
Huntsman Weapon Case,1
M4A1-S | Bright Water (Field-Tested),1
M4A1-S | Cyrex (Field-Tested),1
M4A1-S | Golden Coil (Field-Tested),1
M4A1-S | Guardian (Field-Tested),1
M4A1-S | Hot Rod (Factory New),1
M4A1-S | Player Two (Field-Tested),1
M4A4 | Asiimov (Battle-Scarred),1
M4A4 | Buzz Kill (Field-Tested),1
M4A4 | Desolate Space (Field-Tested),1
M4A4 | Evil Daimyo (Field-Tested),1
M4A4 | Hellfire (Field-Tested),1
M4A4 | Royal Paladin (Field-Tested),1
M4A4 | The Emperor (Field-Tested),1
MAC-10 | Amber Fade (Field-Tested),1
MAC-10 | Disco Tech (Field-Tested),1
MAC-10 | Neon Rider (Field-Tested),1
MP7 | Asterion (Field-Tested),1
MP7 | Bloodsport (Field-Tested),1
MP9 | Bulldozer (Field-Tested),1
Nova | Candy Apple (Field-Tested),1
Nova | Hyper Beast (Field-Tested),1
Operation Breakout Weapon Case,1
P2000 | Corticera (Field-Tested),1
P2000 | Fire Elemental (Field-Tested),1
P2000 | Imperial Dragon (Field-Tested),1
P2000 | Scorpion (Factory New),1
P250 | Asiimov (Field-Tested),1
P250 | Cartel (Field-Tested),1
P250 | Franklin (Field-Tested),1
P250 | Inferno (Field-Tested),1
P250 | Mehndi (Field-Tested),1
P250 | Muertos (Field-Tested),1
P250 | See Ya Later (Field-Tested),1
P90 | Asiimov (Field-Tested),1
P90 | Elite Build (Field-Tested),1
P90 | Emerald Dragon (Field-Tested),1
P90 | Sunset Lily (Field-Tested),1
PP-Bizon | Antique (Field-Tested),1
PP-Bizon | Chemical Green (Field-Tested),1
R8 Revolver | Blaze (Factory New),1
R8 Revolver | Crimson Web (Field-Tested),1
R8 Revolver | Fade (Field-Tested),1
R8 Revolver | Skull Crusher (Field-Tested),1
Sawed-Off | Kiss♥Love (Field-Tested),1
Sawed-Off | Origami (Field-Tested),1
Sawed-Off | The Kraken (Field-Tested),1
SCAR-20 | Bloodsport (Field-Tested),1
SCAR-20 | Crimson Web (Field-Tested),1
SCAR-20 | Cyrex (Field-Tested),1
SG 553 | Bulldozer (Factory New),1
SG 553 | Colony IV (Field-Tested),1
SG 553 | Cyrex (Field-Tested),1
SG 553 | Pulse (Field-Tested),1
SG 553 | Tornado (Field-Tested),1
Souvenir AK-47 | Black Laminate (Field-Tested),1
Souvenir AWP | Pink DDPAT (Field-Tested),1
Souvenir Desert Eagle | Fennec Fox (Field-Tested),1
Souvenir FAMAS | Styx (Field-Tested),1
Souvenir Five-SeveN | Fall Hazard (Field-Tested),1
Souvenir Galil AR | Cerberus (Field-Tested),1
Souvenir Glock-18 | Candy Apple (Field-Tested),1
Souvenir Glock-18 | Night (Field-Tested),1
Souvenir Glock-18 | Reactor (Field-Tested),1
Souvenir M4A1-S | Master Piece (Field-Tested),1
Souvenir M4A4 | Mainframe (Field-Tested),1
Souvenir MP7 | Gunsmoke (Field-Tested),1
Souvenir P2000 | Grassland (Field-Tested),1
Souvenir P250 | Gunsmoke (Field-Tested),1
Souvenir SG 553 | Fallout Warning (Field-Tested),1
Souvenir Tec-9 | Groundwater (Field-Tested),1
SSG 08 | Big Iron (Field-Tested),1
SSG 08 | Blood in the Water (Field-Tested),1
SSG 08 | Dragonfire (Field-Tested),1
SSG 08 | Turbo Peek (Field-Tested),1
StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested),1
StatTrak™ AK-47 | Bloodsport (Field-Tested),1
StatTrak™ AK-47 | Jaguar (Field-Tested),1
StatTrak™ AK-47 | Legion of Anubis (Field-Tested),1
StatTrak™ AK-47 | Wasteland Rebel (Field-Tested),1
StatTrak™ AUG | Chameleon (Field-Tested),1
StatTrak™ AWP | BOOM (Field-Tested),1
StatTrak™ AWP | Fever Dream (Field-Tested),1
StatTrak™ AWP | Redline (Field-Tested),1
StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested),1
StatTrak™ Desert Eagle | Printstream (Field-Tested),1
StatTrak™ FAMAS | Commemoration (Field-Tested),1
StatTrak™ FAMAS | Mecha Industries (Field-Tested),1
StatTrak™ Five-SeveN | Hyper Beast (Field-Tested),1
StatTrak™ Galil AR | Rocket Pop (Field-Tested),1
StatTrak™ Galil AR | Sugar Rush (Field-Tested),1
StatTrak™ Glock-18 | Bullet Queen (Field-Tested),1
StatTrak™ Glock-18 | Moonrise (Field-Tested),1
StatTrak™ M4A1-S | Decimator (Field-Tested),1
StatTrak™ M4A1-S | Guardian (Field-Tested),1
StatTrak™ M4A1-S | Player Two (Field-Tested),1
StatTrak™ M4A4 | Asiimov (Field-Tested),1
StatTrak™ M4A4 | In Living Color (Field-Tested),1
StatTrak™ M4A4 | 龍王 (Dragon King) (Field-Tested),1
StatTrak™ MAC-10 | Heat (Field-Tested),1
StatTrak™ MAC-10 | Monkeyflage (Field-Tested),1
StatTrak™ MAG-7 | Heat (Field-Tested),1
StatTrak™ MAG-7 | Justice (Field-Tested),1
StatTrak™ MP7 | Bloodsport (Field-Tested),1
StatTrak™ MP7 | Impire (Field-Tested),1
StatTrak™ MP9 | Deadly Poison (Field-Tested),1
StatTrak™ MP9 | Food Chain (Field-Tested),1
StatTrak™ MP9 | Starlight Protector (Field-Tested),1
StatTrak™ Negev | Man-o'-war (Field-Tested),1
StatTrak™ Nova | Hyper Beast (Field-Tested),1
StatTrak™ P250 | Cartel (Field-Tested),1
StatTrak™ P250 | Nevermore (Field-Tested),1
StatTrak™ P90 | Elite Build (Field-Tested),1
StatTrak™ P90 | Vent Rush (Field-Tested),1
StatTrak™ PP-Bizon | Judgement of Anubis (Field-Tested),1
StatTrak™ SCAR-20 | Cyrex (Field-Tested),1
StatTrak™ Tec-9 | Avalanche (Field-Tested),1
StatTrak™ Tec-9 | Decimator (Field-Tested),1
StatTrak™ Tec-9 | Fuel Injector (Field-Tested),1
StatTrak™ UMP-45 | Momentum (Field-Tested),1
StatTrak™ USP-S | Blueprint (Field-Tested),1
StatTrak™ USP-S | Orion (Field-Tested),1
StatTrak™ USP-S | The Traitor (Field-Tested),1
StatTrak™ USP-S | Ticket to Hell (Field-Tested),1
Sticker | 3DMAX | Katowice 2014,1
Sticker | 3DMAX | Katowice 2015,1
Sticker | Astralis | Katowice 2019,1
Sticker | BIG | Boston 2018,1
Sticker | BIG | Katowice 2019,1
Sticker | Bravado Gaming | DreamHack 2014,1
Sticker | Clan-Mystik | Katowice 2014,1
Sticker | Cloud9 | Cologne 2014,1
Sticker | Cloud9 | DreamHack 2014,1
Sticker | Cloud9 | Katowice 2019,1
Sticker | Cloud9 G2A | Cologne 2015,1
Sticker | compLexity Gaming | Katowice 2019,1
Sticker | Copenhagen Wolves | Cologne 2014,1
Sticker | Counter Logic Gaming (Foil) | Cologne 2015,1
Sticker | Counter Logic Gaming | Katowice 2015,1
Sticker | dAT team | Cologne 2014,1
Sticker | ENCE | Katowice 2019,1
Sticker | Epsilon eSports | Cologne 2014,1
Sticker | FaZe Clan | Katowice 2019,1
Sticker | FaZe Clan | MLG Columbus 2016,1
Sticker | Flipsid3 Tactics | Cologne 2015,1
Sticker | Flipsid3 Tactics | Katowice 2015,1
Sticker | Flipsid3 Tactics | Krakow 2017,1
Sticker | Fnatic | Boston 2018,1
Sticker | Fnatic | Cologne 2014,1
Sticker | Fnatic | Cologne 2015,1
