Skin,Current,Target,Diff,Action
Sticker | 9INE | Paris 2023,1,0,-1,SELL
Sticker | FaZe Clan | Paris 2023,4,0,-4,SELL
Sticker | Vitality | Paris 2023,4,0,-4,SELL
Sticker | isak | Paris 2023,1,0,-1,SELL
Sticker | Bad News Eagles | Paris 2023,1,0,-1,SELL
Sticker | Into The Breach | Paris 2023,2,0,-2,SELL
Sticker | Team Liquid | Paris 2023,2,0,-2,SELL
Sticker | Fnatic | Paris 2023,1,0,-1,SELL
Sticker | FURIA | Paris 2023,1,0,-1,SELL
Sticker | Bad News Eagles (Glitter) | Paris 2023,1,0,-1,SELL
Sticker | BLAST.tv | Paris 2023,1,0,-1,SELL
Sticker | Fluxo | Paris 2023,1,0,-1,SELL
Sticker | Heroic | Paris 2023,4,0,-4,SELL
Sticker | saffee | Paris 2023,4,0,-4,SELL
Sticker | TeSeS (Glitter) | Paris 2023,1,0,-1,SELL
Sticker | REZ | Paris 2023,1,0,-1,SELL
Sticker | Aleksib | Paris 2023,1,0,-1,SELL
Sticker | NEKiZ | Paris 2023,1,0,-1,SELL
Sticker | Natus Vincere | Paris 2023,3,0,-3,SELL
Sticker | jL | Paris 2023,1,0,-1,SELL
Sticker | F1KU | Paris 2023,1,0,-1,SELL
Sticker | MOUZ | Paris 2023,1,0,-1,SELL
Sticker | ENCE (Glitter) | Paris 2023,1,0,-1,SELL
Sticker | The MongolZ | Paris 2023,2,0,-2,SELL
Sticker | Grayhound Gaming | Paris 2023,3,0,-3,SELL
Sticker | Keoz | Paris 2023,2,0,-2,SELL
Sticker | kRaSnaL | Paris 2023,1,0,-1,SELL
Sticker | jL (Glitter) | Paris 2023,1,0,-1,SELL
Sticker | acoR | Paris 2023,2,0,-2,SELL
Sticker | Jerry | Paris 2023,1,0,-1,SELL
Sticker | DemQQ | Paris 2023,1,0,-1,SELL
Sticker | Brollan | Paris 2023,1,0,-1,SELL
Sticker | huNter- | Paris 2023,2,0,-2,SELL
Sticker | sdy | Paris 2023,1,0,-1,SELL
Sticker | biguzera | Paris 2023,1,0,-1,SELL
Sticker | siuhy | Paris 2023,1,0,-1,SELL
Sticker | ENCE | Paris 2023,1,0,-1,SELL
Sticker | Grayhound Gaming (Glitter) | Paris 2023,2,0,-2,SELL
Sticker | Complexity Gaming | Paris 2023,5,0,-5,SELL
Kilowatt Case,6,0,-6,SELL
Recoil Case,9,0,-9,SELL
Gallery Case,1,0,-1,SELL
Prisma Case,7,0,-7,SELL
Dreams & Nightmares Case,9,0,-9,SELL
Revolution Case,12,0,-12,SELL
Fracture Case,16,0,-16,SELL
Shattered Web Case,8,0,-8,SELL
Prisma 2 Case,5,0,-5,SELL
Snakebite Case,2,0,-2,SELL
Danger Zone Case,11,1,-10,SELL
Operation Vanguard Weapon Case,9,1,-8,SELL
